,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
0,공담,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191016_97%2F1571231705921hQIKy_JPEG%2F2v-ul1w44uguHwTggkgsHrY0.jpg,382,399,8,9,9.57
1,주화담,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190401_212%2F1554117865526NRARf_JPEG%2FKwvoWSM3MA58YXbhnqGU6BzU.jpg,280,322,7,9,9.53
2,심야의미식가,4.45,,264,212,6,8,9.31
3,화소랑,4.58,,183,179,5,8,9.42
4,도오코오,4.43,,185,160,5,8,9.27
5,오노고로,4.55,,392,415,8,9,9.53
7,밀보스79,4.55,,419,300,8,9,9.53
8,세연정,4.36,,1778,387,9,9,9.36
9,대박통,4.72,,124,121,3,7,9.44
10,레스베러,4.75,,159,158,4,8,9.57
11,이십칠,4.57,,160,260,4,9,9.47
12,코지하우스 동래점,4.61,,446,96,8,6,9.35
13,고택,4.67,,116,319,3,9,9.55
14,대양곱창연탄구이,4.6,,363,426,7,9,9.56
15,후쿠오카호르몬,4.43,,326,117,7,7,9.23
16,경상물갈비,4.56,,300,129,7,7,9.36
18,낭만장작 동래점,4.55,,281,192,7,8,9.43
19,경성코페 부산동래점,4.46,,760,115,9,7,9.3
20,용이초밥 동래점,4.73,,1466,157,9,8,9.65
21,삼바리 본점,4.44,,98,525,2,9,9.3
22,한술당,4.54,,136,137,3,8,9.34
25,동래삼선,5.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220513_137%2F1652405251716kYj6x_JPEG%2F000.jpg,145,71,4,6,9.66
26,고기굽는남자,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160617_134%2F1466100633379yD4Jk_JPEG%2F176567434052703_0.jpeg,529,307,8,9,9.56
28,황소야 동래점,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220414_226%2F1649912650418yqaDz_PNG%2F20220414_123540.png,321,157,7,8,9.44
29,83비프,4.59,,185,230,5,9,9.51
30,한신포차 동래역점,4.48,,269,196,6,8,9.34
31,대끼리야,4.44,,201,204,5,8,9.28
32,해운대하얀집오징어 동래점,4.54,,209,103,5,7,9.3
33,남다른감자탕 동래럭키점,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210826_279%2F1629950889459Qt8rA_JPEG%2Fguy2uwC6XSv8pGOEdorl4Pui.jpg,191,86,5,6,9.32
